date,Sony A7 M3,Sony A7 R3,Sony A7 R4,Sony A9 M1,Sony A9 M2,Sony FE35 1.8,Sony FE24 1.4,Sony FE135 1.8GM,Sony FE100-400GM,Sony FE400 2.8GM
date,Georges,Georges,Georges,Georges,CameraPro,CameraPro,CameraPro,CameraPro,CameraPro,CameraPro
2020-01-04,2298.0,3390.0,4798.0,4199.0,6488.0,968.0,1798.0,2378.0,2898.0,15298.0
